param demand :=

[1,*,*]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	:=
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
6	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	1	1	
7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
																													
[2,*,*]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	:=
1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	1	1	
2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	3	2	3	3	3	3	3	3	3	3	2	2	
3	1	1	1	1	2	2	2	2	3	3	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	4	2	2	
4	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	4	2	2	
5	1	1	1	1	2	2	2	2	3	3	2	2	2	2	2	2	3	3	2	3	3	3	4	4	3	3	2	2	
6	1	1	1	1	2	2	2	2	2	2	3	3	3	3	2	2	3	3	3	2	3	3	3	3	3	3	2	2	
7	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	3	4	4	3	2	2	2	2	1	1	
																													
[3,*,*]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	:=
1	2	2	2	2	3	3	3	3	3	3	3	3	3	4	3	3	4	4	3	3	3	3	4	4	4	4	2	2	
2	2	2	3	3	3	4	4	5	4	4	4	4	3	3	3	3	3	3	3	3	4	4	4	4	4	5	1	1	
3	2	2	3	3	3	3	4	4	4	4	3	3	3	3	3	3	3	3	3	3	4	3	3	3	4	4	2	2	
4	2	2	2	3	4	4	5	4	4	5	3	4	3	3	3	3	3	4	3	3	3	3	3	3	3	3	2	2	
5	2	2	3	4	4	5	4	3	3	3	3	3	3	3	5	5	4	4	3	3	4	4	4	4	4	5	2	2	
6	2	2	3	3	4	4	6	5	5	5	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	1	1	
7	2	2	2	2	3	3	4	4	4	3	5	5	3	4	4	4	4	4	4	4	4	3	5	3	3	3	1	1	
																													
																													
[4,*,*]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	:=
1	1	1	2	2	2	2	3	3	3	3	3	3	3	2	2	3	3	3	3	3	3	3	4	5	4	4	2	2	
2	2	2	2	2	3	4	3	3	3	3	3	3	2	3	4	3	3	3	3	3	4	4	4	4	4	4	2	2	
3	2	2	2	2	2	2	4	3	3	2	3	3	4	3	3	3	3	2	4	5	3	3	3	3	4	4	2	2	
4	2	2	2	2	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	4	4	5	3	4	4	2	2	
5	1	1	2	2	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	4	4	4	3	4	5	2	2	
6	2	2	2	2	3	3	3	4	4	4	4	4	4	4	5	4	4	4	6	5	5	4	6	5	3	3	2	2	
7	1	1	2	2	2	2	3	3	5	6	5	7	5	5	4	3	6	6	6	6	7	5	6	5	4	4	1	1	
																													
[5,*,*]:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	:=
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
6	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	2	2	2	2	2	2	2	1	1	1	1	
7	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	;
